PROD_ID,USER_ID,EXPERTISE_LEVEL,NOTES
100,300,Expert,
100,303,Qualified,
100,304,Expert,
100,305,Apprentice,
100,306,Expert,
100,307,Expert,
101,300,Expert,
101,303,Qualified,
101,304,Expert,
101,306,Expert,
102,300,Expert,
102,303,Expert,
102,304,Expert,
102,305,Apprentice,
102,306,Qualified,
103,300,Expert,
103,303,Apprentice,
103,304,Expert,
104,300,Expert,
104,303,Expert,
104,304,Expert,
104,306,Expert,
104,307,Expert,
105,300,Expert,
105,306,Qualified,
105,307,Expert,
106,300,Expert,
106,304,Qualified,
106,305,Apprentice,
106,306,Expert,
106,307,Expert,
107,300,Expert,
107,304,Expert,
107,305,Apprentice,
107,306,Expert,
107,307,Expert,
108,300,Expert,
108,303,Expert,
108,304,Qualified,
108,307,Expert,
109,300,Qualified,
109,303,Expert,
109,304,Expert,
109,305,Expert,
109,306,Expert,
109,307,Apprentice,
110,300,Expert,
110,304,Expert,
110,305,Apprentice,
110,306,Qualified,
110,307,Qualified,
111,300,Qualified,
111,305,Qualified,
111,306,Qualified,
111,307,Expert,
112,303,Expert,
112,304,Qualified,
112,305,Apprentice,
112,306,Qualified,
112,307,Expert,
113,303,Expert,
113,304,Qualified,
113,305,Expert,
114,300,Expert,
114,304,Expert,
114,306,Apprentice,
115,300,Expert,
115,303,Expert,
115,304,Expert,
115,305,Apprentice,
116,300,Expert,
116,303,Qualified,
116,304,Expert,
117,300,Expert,
117,304,Qualified,
117,305,Expert,
117,307,Expert,
118,300,Expert,
118,306,Expert,
118,307,Expert,
119,307,Expert,
